PM2.5,PM10,O3,NO2,SO2,CO,temp,Pressure,Humidity,Wind,Air Quality
91,141,27,8,6,11,26,999,38,11,healthy
103,126,33,18,11,13,27,1000,32,13,healthy
147,113,42,17,11,14,27,1003,25,12,unhealthy
142,138,38,20,11,16,28,1004,29,7,unhealthy
144,161,54,24,15,17,27,1002,23,11,unhealthy
93,136,34,24,16,18,27,1003,23,7,healthy
196,170,28,12,7,15,26,1005,38,15,unhealthy
100,110,27,16,9,14,27,1003,34,17,healthy
132,119,31,18,9,14,28,1004,54,19,unhealthy
90,134,35,22,10,16,27,1006,41,9,healthy
